OrderDate,Category,Product,Region,AgeGroup,PaymentMethod,Quantity,UnitPrice,Revenue,Rating,Returned
2024-01-01 00:00:00.000000,Mỹ phẩm,Kem dưỡng da,TP.HCM,,COD,1,428000.0,428000.0,4.6,Không
2024-01-01 17:33:18.396793,Thể thao,Thảm yoga,TP.HCM,18-24,COD,5,378000.0,1890000.0,4.0,Không
2024-01-01 17:33:18.396793,Thời trang,Áo thun,Hà Nội,35-44,Ví điện tử,2,603000.0,1206000.0,3.3,Không
2024-01-04 15:46:31.983967,Thời trang,Kính mát,Hà Nội,35-44,Ví điện tử,2,106000.0,212000.0,3.4,Không
2024-01-07 13:59:45.571142,Điện tử,Sạc dự phòng,TP.HCM,25-34,Ví điện tử,4,1100000.0,4400000.0,3.6,Không
2024-01-09 01:06:22.364729,Mỹ phẩm,Serum,Đà Nẵng,25-34,Thẻ ngân hàng,1,313000.0,313000.0,3.6,Không
2024-01-09 01:06:22.364729,Mỹ phẩm,Toner,Đà Nẵng,25-34,Ví điện tử,3,346000.0,1038000.0,5.0,Không
2024-01-09 01:06:22.364729,Điện tử,Sạc dự phòng,Hà Nội,35-44,Ví điện tử,1,729000.0,729000.0,4.6,Không
2024-01-09 18:39:40.761523,Thời trang,Túi xách,TP.HCM,25-34,Ví điện tử,3,553000.0,1659000.0,3.5,Không
2024-01-10 12:12:59.158316,Điện tử,Tai nghe,Đà Nẵng,18-24,Ví điện tử,26,1149000.0,29874000.0,3.0,Không
2024-01-10 12:12:59.158316,Mỹ phẩm,Kem dưỡng da,TP.HCM,,Ví điện tử,1,263000.0,263000.0,3.2,Không
2024-01-11 05:46:17.555110,Thể thao,Thảm yoga,Đà Nẵng,55+,Ví điện tử,1,43000.0,43000.0,4.3,Không
2024-01-12 16:52:54.348697,Sách,Sách kỹ năng,Cần Thơ,35-44,Ví điện tử,3,50000.0,150000.0,4.3,Không
2024-01-12 16:52:54.348697,Điện tử,Loa bluetooth,TP.HCM,,COD,1,677000.0,677000.0,3.0,Có
2024-01-13 10:26:12.745490,Mỹ phẩm,Serum,Cần Thơ,45-54,Chuyển khoản,1,377000.0,377000.0,4.8,Không
2024-01-14 03:59:31.142284,Thời trang,Quần jean,Bình Dương,45-54,Chuyển khoản,4,497000.0,1988000.0,,Không
2024-01-14 21:32:49.539078,Điện tử,Tai nghe,TP.HCM,25-34,Thẻ ngân hàng,1,288000.0,288000.0,3.0,Không
2024-01-14 21:32:49.539078,Điện tử,Cáp USB,Hà Nội,25-34,Thẻ ngân hàng,1,305000.0,305000.0,4.9,Không
2024-01-14 21:32:49.539078,Thời trang,Giày sneaker,Cần Thơ,18-24,Ví điện tử,1,422000.0,422000.0,4.6,Không
2024-01-15 15:06:07.935871,Mỹ phẩm,Kem dưỡng da,TP.HCM,18-24,Thẻ ngân hàng,1,109000.0,109000.0,,Có
